Date,Index_2x,MA_2x
2011-12-23,1397.669921875,1273.7324060058593
2011-12-27,1397.8701171875,1274.2621662597655
2011-12-28,1366.2900390625,1274.7146462402343
2011-12-29,1393.050048828125,1275.2181662597657
2011-12-30,1382.2099609375,1275.6818063964843
2012-01-03,1421.130126953125,1276.2101267089843
2012-01-04,1421.610107421875,1276.731406982422
2012-01-05,1429.130126953125,1277.3107673339844
2012-01-06,1422.630126953125,1277.8392873535156
2012-01-09,1428.409912109375,1278.3682473144531
2012-01-10,1451.169921875,1278.9924470214844
2012-01-11,1451.969970703125,1279.5614470214844
2012-01-12,1458.010009765625,1280.1912868652344
2012-01-13,1445.18994140625,1280.8817268066407
2012-01-17,1454.35009765625,1281.6893669433593
2012-01-18,1483.090087890625,1282.5344069824218
2012-01-19,1496.010009765625,1283.4237268066406
2012-01-20,1497.77001953125,1284.295246826172
2012-01-23,1499.010009765625,1285.2211267089845
2012-01-24,1496.31005859375,1286.1842468261718
2012-01-25,1519.130126953125,1287.1317272949218
2012-01-26,1503.8701171875,1287.9921677246093
2012-01-27,1499.669921875,1288.8683674316405
2012-01-30,1493.030029296875,1289.867967529297
2012-01-31,1491.830078125,1290.8528479003905
2012-02-01,1515.18994140625,1291.9222478027343
2012-02-02,1518.090087890625,1292.9423278808595
2012-02-03,1556.81005859375,1294.0494079589844
2012-02-06,1555.669921875,1295.1128479003905
2012-02-07,1561.110107421875,1296.1990080566407
2012-02-08,1566.929931640625,1297.219367919922
2012-02-09,1570.909912109375,1298.229127685547
2012-02-10,1552.2900390625,1299.1726877441406
2012-02-13,1570.550048828125,1300.1430876464844
2012-02-14,1568.010009765625,1301.1130476074218
2012-02-15,1553.469970703125,1302.1075676269531
2012-02-16,1583.090087890625,1303.1187678222657
2012-02-17,1589.469970703125,1304.1519279785157
2012-02-21,1591.429931640625,1305.1828078613282
2012-02-22,1582.330078125,1306.1506081542968
2012-02-23,1593.929931640625,1307.131207763672
2012-02-24,1598.489990234375,1308.1190075683594
2012-02-27,1602.18994140625,1309.0974875488282
2012-02-28,1611.3701171875,1310.0314079589843
2012-02-29,1598.3701171875,1310.940128173828
2012-03-01,1615.18994140625,1311.874688232422
2012-03-02,1606.27001953125,1312.7707683105468
2012-03-05,1595.669921875,1313.6271281738282
2012-03-06,1553.72998046875,1314.4006081542968
2012-03-07,1572.27001953125,1315.2090881347656
2012-03-08,1598.830078125,1316.0348884277344
2012-03-09,1608.75,1316.8535285644532
2012-03-12,1609.18994140625,1317.6745686035156
2012-03-13,1658.909912109375,1318.6187683105468
2012-03-14,1655.570068359375,1319.5326481933594
2012-03-15,1672.2099609375,1320.4463679199218
2012-03-16,1675.35009765625,1321.3921682128907
2012-03-19,1686.510009765625,1322.3682482910156
2012-03-20,1678.050048828125,1323.3239685058593
2012-03-21,1672.7900390625,1324.2426486816407
2012-03-22,1652.570068359375,1325.1206887207031
2012-03-23,1661.22998046875,1326.0314084472657
2012-03-26,1700.030029296875,1326.9850485839843
2012-03-27,1692.050048828125,1327.8853688964844
2012-03-28,1678.090087890625,1328.7497692871093
2012-03-29,1673.570068359375,1329.6330895996093
2012-03-30,1683.949951171875,1330.5212097167969
2012-04-02,1705.090087890625,1331.419889892578
2012-04-03,1693.77001953125,1332.2874899902345
2012-04-04,1664.929931640625,1333.0941296386718
2012-04-05,1663.169921875,1333.8438493652343
2012-04-09,1631.409912109375,1334.5259689941406
2012-04-10,1584.18994140625,1335.1918088378907
2012-04-11,1604.429931640625,1335.8765686035156
2012-04-12,1642.14990234375,1336.5981682128906
2012-04-13,1607.530029296875,1337.255448486328
2012-04-16,1606.14990234375,1337.8990480957032
2012-04-17,1648.570068359375,1338.5930480957031
2012-04-18,1637.2900390625,1339.2854079589845
2012-04-19,1620.85009765625,1340.0582482910156
2012-04-20,1624.070068359375,1340.8069284667968
2012-04-23,1600.889892578125,1341.4475681152344
2012-04-24,1610.949951171875,1342.1886882324218
2012-04-25,1648.389892578125,1342.9424079589844
2012-04-26,1666.969970703125,1343.8479279785156
2012-04-27,1673.72998046875,1344.7978879394532
2012-04-30,1662.830078125,1345.8769279785156
2012-05-01,1678.64990234375,1347.0566877441406
2012-05-02,1671.630126953125,1348.0270080566406
2012-05-03,1650.14990234375,1348.970127685547
2012-05-04,1605.2099609375,1349.7598474121094
2012-05-07,1606.169921875,1350.608407470703
2012-05-08,1594.449951171875,1351.5205671386718
2012-05-09,1576.169921875,1352.3911271972656
2012-05-10,1582.989990234375,1353.3398869628907
2012-05-11,1573.7900390625,1354.293246826172
2012-05-14,1543.7099609375,1355.3602868652345
2012-05-15,1528.330078125,1356.3321672363281
2012-05-16,1516.610107421875,1357.3367673339844
2012-05-17,1476.72998046875,1358.260087158203
2012-05-18,1457.449951171875,1359.1691672363281
2012-05-21,1498.989990234375,1360.0208869628907
2012-05-22,1500.27001953125,1360.9297668457032
2012-05-23,1504.72998046875,1361.9223669433593
2012-05-24,1508.3701171875,1362.8115671386718
2012-05-25,1502.64990234375,1363.6715270996094
2012-05-29,1531.85009765625,1364.7416872558595
2012-05-30,1493.64990234375,1365.7930871582032
2012-05-31,1487.669921875,1366.7864069824218
2012-06-01,1423.090087890625,1367.6758073730468
2012-06-04,1423.3701171875,1368.4411677246094
2012-06-05,1438.010009765625,1369.2167678222656
2012-06-06,1497.27001953125,1370.1187678222657
2012-06-07,1496.989990234375,1370.9178078613281
2012-06-08,1518.330078125,1371.7620080566405
2012-06-11,1484.8701171875,1372.5335681152344
2012-06-12,1515.3701171875,1373.3602482910155
