Date,Price,MA_Index,Cumulative_2x,MA_2x
2012-01-10,1292.0799560546875,1205.9912186279296,1451.169921875,1278.9924470214844
2012-01-11,1292.47998046875,1206.2757186279298,1451.969970703125,1279.5614470214844
2012-01-12,1295.5,1206.5906385498047,1458.010009765625,1280.1912868652344
2012-01-13,1289.0899658203125,1206.9358585205077,1445.18994140625,1280.8817268066407
2012-01-17,1293.6700439453125,1207.3396785888672,1454.35009765625,1281.6893669433593
2012-01-18,1308.0400390625,1207.7621986083984,1483.090087890625,1282.5344069824218
2012-01-19,1314.5,1208.206858520508,1496.010009765625,1283.4237268066406
2012-01-20,1315.3800048828125,1208.6426185302735,1497.77001953125,1284.295246826172
2012-01-23,1316.0,1209.1055584716796,1499.010009765625,1285.2211267089845
2012-01-24,1314.6500244140625,1209.5871185302735,1496.31005859375,1286.1842468261718
2012-01-25,1326.06005859375,1210.0608587646484,1519.130126953125,1287.1317272949218
2012-01-26,1318.4300537109375,1210.4910789794922,1503.8701171875,1287.9921677246093
2012-01-27,1316.3299560546875,1210.9291788330079,1499.669921875,1288.8683674316405
2012-01-30,1313.010009765625,1211.428978881836,1493.030029296875,1289.867967529297
2012-01-31,1312.4100341796875,1211.9214190673829,1491.830078125,1290.8528479003905
2012-02-01,1324.0899658203125,1212.4561190185548,1515.18994140625,1291.9222478027343
2012-02-02,1325.5400390625,1212.9661590576172,1518.090087890625,1292.9423278808595
2012-02-03,1344.9000244140625,1213.5196990966797,1556.81005859375,1294.0494079589844
2012-02-06,1344.3299560546875,1214.0514190673828,1555.669921875,1295.1128479003905
2012-02-07,1347.050048828125,1214.5944991455078,1561.110107421875,1296.1990080566407
2012-02-08,1349.9599609375,1215.1046790771484,1566.929931640625,1297.219367919922
2012-02-09,1351.949951171875,1215.6095589599609,1570.909912109375,1298.229127685547
2012-02-10,1342.6400146484375,1216.0813389892578,1552.2900390625,1299.1726877441406
2012-02-13,1351.77001953125,1216.5665389404296,1570.550048828125,1300.1430876464844
2012-02-14,1350.5,1217.0515189208984,1568.010009765625,1301.1130476074218
2012-02-15,1343.22998046875,1217.548778930664,1553.469970703125,1302.1075676269531
2012-02-16,1358.0400390625,1218.0543790283202,1583.090087890625,1303.1187678222657
2012-02-17,1361.22998046875,1218.5709591064453,1589.469970703125,1304.1519279785157
2012-02-21,1362.2099609375,1219.0863990478515,1591.429931640625,1305.1828078613282
2012-02-22,1357.6600341796875,1219.570299194336,1582.330078125,1306.1506081542968
2012-02-23,1363.4599609375,1220.0605989990233,1593.929931640625,1307.131207763672
2012-02-24,1365.739990234375,1220.5544989013672,1598.489990234375,1308.1190075683594
2012-02-27,1367.5899658203125,1221.0437388916016,1602.18994140625,1309.0974875488282
2012-02-28,1372.1800537109375,1221.5106990966797,1611.3701171875,1310.0314079589843
2012-02-29,1365.6800537109375,1221.9650592041016,1598.3701171875,1310.940128173828
2012-03-01,1374.0899658203125,1222.4323392333984,1615.18994140625,1311.874688232422
2012-03-02,1369.6300048828125,1222.880379272461,1606.27001953125,1312.7707683105468
2012-03-05,1364.3299560546875,1223.3085592041016,1595.669921875,1313.6271281738282
2012-03-06,1343.3599853515625,1223.695299194336,1553.72998046875,1314.4006081542968
2012-03-07,1352.6300048828125,1224.0995391845704,1572.27001953125,1315.2090881347656
2012-03-08,1365.9100341796875,1224.5124393310548,1598.830078125,1316.0348884277344
2012-03-09,1370.8699951171875,1224.921759399414,1608.75,1316.8535285644532
2012-03-12,1371.0899658203125,1225.3322794189453,1609.18994140625,1317.6745686035156
2012-03-13,1395.949951171875,1225.804379272461,1658.909912109375,1318.6187683105468
2012-03-14,1394.280029296875,1226.2613192138672,1655.570068359375,1319.5326481933594
2012-03-15,1402.5999755859375,1226.7181790771485,1672.2099609375,1320.4463679199218
2012-03-16,1404.1700439453125,1227.1910792236329,1675.35009765625,1321.3921682128907
2012-03-19,1409.75,1227.6791192626954,1686.510009765625,1322.3682482910156
2012-03-20,1405.52001953125,1228.1569793701171,1678.050048828125,1323.3239685058593
2012-03-21,1402.8900146484375,1228.6163194580079,1672.7900390625,1324.2426486816407
2012-03-22,1392.780029296875,1229.055339477539,1652.570068359375,1325.1206887207031
2012-03-23,1397.1099853515625,1229.5106993408203,1661.22998046875,1326.0314084472657
2012-03-26,1416.510009765625,1229.9875194091796,1700.030029296875,1326.9850485839843
2012-03-27,1412.52001953125,1230.4376795654298,1692.050048828125,1327.8853688964844
2012-03-28,1405.5400390625,1230.8698797607422,1678.090087890625,1328.7497692871093
2012-03-29,1403.280029296875,1231.3115399169922,1673.570068359375,1329.6330895996093
2012-03-30,1408.469970703125,1231.755599975586,1683.949951171875,1330.5212097167969
2012-04-02,1419.0400390625,1232.2049400634767,1705.090087890625,1331.419889892578
2012-04-03,1413.3800048828125,1232.6387401123047,1693.77001953125,1332.2874899902345
2012-04-04,1398.9599609375,1233.0420599365234,1664.929931640625,1333.0941296386718
2012-04-05,1398.0799560546875,1233.4169197998046,1663.169921875,1333.8438493652343
2012-04-09,1382.199951171875,1233.757979614258,1631.409912109375,1334.5259689941406
2012-04-10,1358.5899658203125,1234.0908995361328,1584.18994140625,1335.1918088378907
2012-04-11,1368.7099609375,1234.4332794189454,1604.429931640625,1335.8765686035156
2012-04-12,1387.5699462890625,1234.7940792236327,1642.14990234375,1336.5981682128906
2012-04-13,1370.260009765625,1235.1227193603515,1607.530029296875,1337.255448486328
2012-04-16,1369.5699462890625,1235.444519165039,1606.14990234375,1337.8990480957032
2012-04-17,1390.780029296875,1235.791519165039,1648.570068359375,1338.5930480957031
2012-04-18,1385.1400146484375,1236.1376990966796,1637.2900390625,1339.2854079589845
2012-04-19,1376.9200439453125,1236.5241192626954,1620.85009765625,1340.0582482910156
2012-04-20,1378.530029296875,1236.8984593505859,1624.070068359375,1340.8069284667968
2012-04-23,1366.93994140625,1237.2187791748047,1600.889892578125,1341.4475681152344
