Date,Price,MA_Index
2011-12-23,1265.3299560546875,1203.3611981201173
2011-12-27,1265.4300537109375,1203.6260782470704
2011-12-28,1249.6400146484375,1203.8523182373046
2011-12-29,1263.02001953125,1204.1040782470702
2011-12-30,1257.5999755859375,1204.3358983154296
2012-01-03,1277.06005859375,1204.6000584716796
2012-01-04,1277.300048828125,1204.8606986083985
2012-01-05,1281.06005859375,1205.1503787841798
2012-01-06,1277.81005859375,1205.4146387939454
2012-01-09,1280.699951171875,1205.679118774414
2012-01-10,1292.0799560546875,1205.9912186279296
2012-01-11,1292.47998046875,1206.2757186279298
2012-01-12,1295.5,1206.5906385498047
2012-01-13,1289.0899658203125,1206.9358585205077
2012-01-17,1293.6700439453125,1207.3396785888672
2012-01-18,1308.0400390625,1207.7621986083984
2012-01-19,1314.5,1208.206858520508
2012-01-20,1315.3800048828125,1208.6426185302735
2012-01-23,1316.0,1209.1055584716796
2012-01-24,1314.6500244140625,1209.5871185302735
2012-01-25,1326.06005859375,1210.0608587646484
2012-01-26,1318.4300537109375,1210.4910789794922
2012-01-27,1316.3299560546875,1210.9291788330079
2012-01-30,1313.010009765625,1211.428978881836
2012-01-31,1312.4100341796875,1211.9214190673829
2012-02-01,1324.0899658203125,1212.4561190185548
2012-02-02,1325.5400390625,1212.9661590576172
2012-02-03,1344.9000244140625,1213.5196990966797
2012-02-06,1344.3299560546875,1214.0514190673828
2012-02-07,1347.050048828125,1214.5944991455078
2012-02-08,1349.9599609375,1215.1046790771484
2012-02-09,1351.949951171875,1215.6095589599609
2012-02-10,1342.6400146484375,1216.0813389892578
2012-02-13,1351.77001953125,1216.5665389404296
2012-02-14,1350.5,1217.0515189208984
2012-02-15,1343.22998046875,1217.548778930664
2012-02-16,1358.0400390625,1218.0543790283202
2012-02-17,1361.22998046875,1218.5709591064453
2012-02-21,1362.2099609375,1219.0863990478515
2012-02-22,1357.6600341796875,1219.570299194336
2012-02-23,1363.4599609375,1220.0605989990233
2012-02-24,1365.739990234375,1220.5544989013672
2012-02-27,1367.5899658203125,1221.0437388916016
2012-02-28,1372.1800537109375,1221.5106990966797
2012-02-29,1365.6800537109375,1221.9650592041016
2012-03-01,1374.0899658203125,1222.4323392333984
2012-03-02,1369.6300048828125,1222.880379272461
2012-03-05,1364.3299560546875,1223.3085592041016
2012-03-06,1343.3599853515625,1223.695299194336
2012-03-07,1352.6300048828125,1224.0995391845704
2012-03-08,1365.9100341796875,1224.5124393310548
2012-03-09,1370.8699951171875,1224.921759399414
2012-03-12,1371.0899658203125,1225.3322794189453
2012-03-13,1395.949951171875,1225.804379272461
2012-03-14,1394.280029296875,1226.2613192138672
2012-03-15,1402.5999755859375,1226.7181790771485
2012-03-16,1404.1700439453125,1227.1910792236329
2012-03-19,1409.75,1227.6791192626954
2012-03-20,1405.52001953125,1228.1569793701171
2012-03-21,1402.8900146484375,1228.6163194580079
2012-03-22,1392.780029296875,1229.055339477539
2012-03-23,1397.1099853515625,1229.5106993408203
2012-03-26,1416.510009765625,1229.9875194091796
2012-03-27,1412.52001953125,1230.4376795654298
2012-03-28,1405.5400390625,1230.8698797607422
2012-03-29,1403.280029296875,1231.3115399169922
2012-03-30,1408.469970703125,1231.755599975586
2012-04-02,1419.0400390625,1232.2049400634767
2012-04-03,1413.3800048828125,1232.6387401123047
2012-04-04,1398.9599609375,1233.0420599365234
2012-04-05,1398.0799560546875,1233.4169197998046
2012-04-09,1382.199951171875,1233.757979614258
2012-04-10,1358.5899658203125,1234.0908995361328
2012-04-11,1368.7099609375,1234.4332794189454
2012-04-12,1387.5699462890625,1234.7940792236327
2012-04-13,1370.260009765625,1235.1227193603515
2012-04-16,1369.5699462890625,1235.444519165039
2012-04-17,1390.780029296875,1235.791519165039
2012-04-18,1385.1400146484375,1236.1376990966796
2012-04-19,1376.9200439453125,1236.5241192626954
2012-04-20,1378.530029296875,1236.8984593505859
2012-04-23,1366.93994140625,1237.2187791748047
2012-04-24,1371.969970703125,1237.5893392333985
2012-04-25,1390.68994140625,1237.9661990966797
2012-04-26,1399.97998046875,1238.4189591064453
2012-04-27,1403.3599853515625,1238.893939086914
2012-04-30,1397.9100341796875,1239.4334591064453
2012-05-01,1405.8199462890625,1240.0233389892578
2012-05-02,1402.31005859375,1240.5084991455078
2012-05-03,1391.5699462890625,1240.9800589599608
2012-05-04,1369.0999755859375,1241.3749188232423
2012-05-07,1369.5799560546875,1241.7991988525391
2012-05-08,1363.719970703125,1242.2552786865235
2012-05-09,1354.5799560546875,1242.6905587158203
2012-05-10,1357.989990234375,1243.1649385986327
2012-05-11,1353.3900146484375,1243.6416185302735
2012-05-14,1338.3499755859375,1244.1751385498046
2012-05-15,1330.6600341796875,1244.6610787353516
2012-05-16,1324.800048828125,1245.1633787841797
2012-05-17,1304.8599853515625,1245.625038696289
2012-05-18,1295.219970703125,1246.0795787353516
2012-05-21,1315.989990234375,1246.5054385986327
2012-05-22,1316.6300048828125,1246.959878540039
2012-05-23,1318.8599853515625,1247.4561785888673
2012-05-24,1320.6800537109375,1247.9007786865234
2012-05-25,1317.8199462890625,1248.330758666992
2012-05-29,1332.4200439453125,1248.8658387451171
2012-05-30,1313.3199462890625,1249.391538696289
2012-05-31,1310.3299560546875,1249.8881986083984
2012-06-01,1278.0400390625,1250.332898803711
2012-06-04,1278.1800537109375,1250.7155789794922
2012-06-05,1285.5,1251.1033790283202
2012-06-06,1315.1300048828125,1251.5543790283202
2012-06-07,1314.989990234375,1251.9538990478516
2012-06-08,1325.6600341796875,1252.3759991455079
