Date,Net Value,ROIC,Cash,Holdings,Price,SMA1,SMA2,Stop Loss
2001-09-27,994.6086063682218,98.46086063682218,990.0,0.0006364920135051872,7240.635028304521,12268.301734593375,13471.7749700431,6.75
2001-09-28,994.8106663915916,98.48106663915915,990.0,0.0006364920135051872,7558.093879448808,12237.360752137476,13461.131576161566,6.75
2001-10-01,994.7885757952539,98.4788575795254,990.0,0.0006364920135051872,7523.387086796238,12207.549047278933,13449.899400189986,6.75
2001-10-02,994.9064285681841,98.49064285681841,990.0,0.0006364920135051872,7708.546948082175,12179.220288629022,13438.681580088409,6.75
2001-10-03,995.1019707452426,98.51019707452426,990.0,0.0006364920135051872,8015.765535133474,12150.923304040043,13427.850170997332,6.75
2001-10-04,995.0767530362955,98.50767530362955,990.0,0.0006364920135051872,7976.14569951572,12123.625794086363,13418.00558898479,6.75
2001-10-05,995.0933649821338,98.50933649821339,990.0,0.0006364920135051872,8002.244920693421,12097.572924988246,13408.146046282192,6.75
2001-10-08,995.0083630538912,98.50083630538913,990.0,0.0006364920135051872,7868.697403302766,12070.341762598322,13398.277622329299,6.75
2001-10-09,994.9547175100927,98.49547175100926,990.0,0.0006364920135051872,7784.414265949517,12044.428598938726,13387.892607239955,6.75
2001-10-10,995.182022648384,98.5182022648384,990.0,0.0006364920135051872,8141.536010556314,12019.905798946065,13378.290469503701,6.75
2001-10-11,995.3396419646393,98.53396419646393,990.0,0.0006364920135051872,8389.173550244095,11998.32748042151,13369.396667540523,6.75
2001-10-12,995.2833957702477,98.52833957702477,990.0,0.0006364920135051872,8300.80450051808,11975.691170244809,13361.168613943477,6.75
2001-10-15,995.2672307522724,98.52672307522724,990.0,0.0006364920135051872,8275.4074529005,11952.459000461979,13353.649612475974,6.75
2001-10-16,995.3402967984149,98.5340296798415,990.0,0.0006364920135051872,8390.202367199712,11929.567077060226,13345.646291160803,6.75
2001-10-17,995.1412898018087,98.51412898018087,990.0,0.0006364920135051872,8077.540161887406,11904.653020808424,13337.90882509206,6.75
2001-10-18,995.0603343802203,98.50603343802203,990.0,0.0006364920135051872,7950.3501581313485,11878.574825489934,13329.283375536541,6.75
2001-10-19,995.1064575279199,98.51064575279199,990.0,0.0006364920135051872,8022.814771545222,11851.560028524875,13321.033447972823,6.75
2001-10-22,995.2626747515449,98.52626747515448,990.0,0.0006364920135051872,8268.24946720564,11825.110425403636,13313.174202163886,6.75
2001-10-23,995.2132300415203,98.52132300415204,990.0,0.0006364920135051872,8190.56630861844,11799.125271482697,13305.02738308198,6.75
2001-10-24,995.2172669091201,98.521726690912,990.0,0.0006364920135051872,8196.908678222639,11774.074418088481,13295.944776839879,6.75
2001-10-25,995.3604388668731,98.53604388668731,990.0,0.0006364920135051872,8421.847805054069,11748.941979080593,13287.005131357253,6.75
2001-10-26,995.4044883240598,98.54044883240599,990.0,0.0006364920135051872,8491.054419201717,11722.61451970635,13278.772741099061,6.75
2001-10-29,995.1470362137113,98.51470362137113,990.0,0.0006364920135051872,8086.568416414856,11695.461070909183,13269.82168831121,6.75
2001-10-30,994.9703291000773,98.49703291000773,990.0,0.0006364920135051872,7808.941816418864,11667.716089537576,13260.946087341143,6.75
2001-10-31,994.9702353017003,98.49702353017003,990.0,0.0006364920135051872,7808.794448698533,11638.791812261308,13252.378732839536,6.75
2001-11-01,995.1983508021576,98.51983508021576,990.0,0.0006364920135051872,8167.189362722854,11611.381752801093,13244.39669131453,6.75
2001-11-02,995.2280803243174,98.52280803243174,990.0,0.0006364920135051872,8213.89776051723,11583.558970299473,13236.253527705918,6.75
