Price,China
Ticker,000001.SS
Date,
1997-07-02,1199.06103515625
1997-07-03,1150.623046875
1997-07-04,1159.342041015625
1997-07-07,1096.8189697265625
1997-07-08,1109.666015625
1997-07-09,1120.8409423828125
1997-07-10,1120.154052734375
1997-07-11,1154.7939453125
1997-07-14,1200.114013671875
1997-07-16,1190.8260498046875
1997-07-17,1197.2259521484375
1997-07-18,1209.8570556640625
1997-07-21,1193.5250244140625
1997-07-22,1208.248046875
1997-07-23,1198.8609619140625
1997-07-24,1174.217041015625
1997-07-25,1170.862060546875
1997-07-28,1141.7769775390625
1997-07-29,1153.22900390625
1997-07-30,1179.4210205078125
1997-07-31,1189.760009765625
1997-08-01,1192.8280029296875
1997-08-04,1200.3330078125
1997-08-05,1196.2740478515625
1997-08-06,1171.9410400390625
1997-08-07,1199.239990234375
1997-08-08,1206.052978515625
1997-08-11,1184.0830078125
1997-08-12,1146.8089599609375
1997-08-13,1120.126953125
1997-08-14,1168.113037109375
1997-08-15,1143.06396484375
1997-08-18,1134.634033203125
1997-08-19,1132.905029296875
1997-08-20,1144.6390380859375
1997-08-21,1164.5450439453125
1997-08-22,1171.8330078125
1997-08-25,1184.095947265625
1997-08-26,1194.04296875
1997-08-27,1198.512939453125
1997-08-28,1213.8919677734375
1997-08-29,1221.06396484375
1997-09-01,1229.864990234375
1997-09-02,1226.302978515625
1997-09-03,1240.8199462890625
1997-09-04,1251.2979736328125
1997-09-05,1251.550048828125
1997-09-08,1255.22900390625
1997-09-09,1231.0269775390625
1997-09-10,1256.041015625
1997-09-11,1242.7130126953125
1997-09-12,1208.697021484375
1997-09-15,1179.2860107421875
1997-09-16,1187.219970703125
1997-09-17,1167.5570068359375
1997-09-18,1172.365966796875
1997-09-19,1184.52099609375
1997-09-22,1103.9739990234375
1997-09-23,1041.9649658203125
1997-09-24,1110.011962890625
1997-09-25,1117.010009765625
1997-09-26,1109.634033203125
1997-09-29,1084.072021484375
1997-09-30,1097.383056640625
1997-10-06,1098.9029541015625
1997-10-07,1102.572998046875
1997-10-08,1134.8680419921875
1997-10-09,1122.4659423828125
1997-10-10,1130.7850341796875
1997-10-13,1119.8170166015625
1997-10-14,1117.927978515625
1997-10-15,1125.781982421875
1997-10-16,1150.3070068359375
