Price,Japan
Ticker,^N225
Date,
1970-01-05,2402.85009765625
1970-01-06,2406.219970703125
1970-01-07,2394.9599609375
1970-01-08,2283.679931640625
1970-01-09,2283.679931640625
1970-01-12,2324.239990234375
1970-01-13,2297.68994140625
1970-01-14,2288.139892578125
1970-01-16,2286.449951171875
1970-01-19,2309.3798828125
1970-01-20,2309.93994140625
1970-01-21,2325.360107421875
1970-01-22,2322.580078125
1970-01-23,2312.0
1970-01-26,2316.7099609375
1970-01-27,2316.7099609375
1970-01-28,2324.77001953125
1970-01-29,2328.60009765625
1970-01-30,2296.429931640625
1970-02-02,2310.449951171875
1970-02-03,2296.679931640625
1970-02-04,2313.31005859375
1970-02-05,2306.780029296875
1970-02-06,2302.929931640625
1970-02-09,2306.39990234375
1970-02-10,2306.25
1970-02-12,2306.25
1970-02-13,2298.64990234375
1970-02-16,2293.929931640625
1970-02-17,2294.7099609375
1970-02-18,2313.22998046875
1970-02-19,2324.39990234375
1970-02-20,2322.97998046875
1970-02-23,2361.469970703125
1970-02-24,2375.4599609375
1970-02-25,2383.179931640625
1970-02-26,2385.070068359375
1970-02-27,2385.070068359375
1970-03-02,2399.760009765625
1970-03-03,2396.639892578125
1970-03-04,2422.72998046875
1970-03-05,2423.3701171875
1970-03-06,2452.260009765625
1970-03-09,2455.169921875
1970-03-10,2470.219970703125
1970-03-11,2458.1298828125
1970-03-12,2433.1201171875
1970-03-13,2446.360107421875
1970-03-16,2446.360107421875
1970-03-17,2468.840087890625
1970-03-18,2484.6201171875
1970-03-19,2490.469970703125
1970-03-20,2491.179931640625
1970-03-23,2495.179931640625
1970-03-24,2484.14990234375
1970-03-25,2481.010009765625
1970-03-26,2504.840087890625
1970-03-27,2485.360107421875
1970-03-30,2510.239990234375
1970-03-31,2510.239990234375
1970-04-01,2521.419921875
1970-04-02,2522.840087890625
1970-04-03,2500.090087890625
1970-04-06,2534.449951171875
1970-04-07,2524.1298828125
1970-04-08,2529.64990234375
1970-04-09,2515.050048828125
1970-04-10,2513.93994140625
1970-04-13,2508.159912109375
1970-04-14,2502.030029296875
1970-04-15,2502.030029296875
1970-04-16,2502.64990234375
1970-04-17,2471.2099609375
1970-04-20,2470.669921875
1970-04-21,2469.639892578125
1970-04-22,2436.39990234375
1970-04-23,2415.669921875
1970-04-24,2422.860107421875
1970-04-27,2386.06005859375
1970-04-28,2315.429931640625
1970-04-30,2114.320068359375
1970-05-01,2114.320068359375
1970-05-06,2191.389892578125
1970-05-07,2209.610107421875
1970-05-08,2190.5400390625
1970-05-11,2139.070068359375
1970-05-12,2149.429931640625
1970-05-13,2096.75
1970-05-14,2048.719970703125
1970-05-15,2018.7099609375
1970-05-18,2047.9000244140625
1970-05-19,2047.9000244140625
1970-05-20,1983.780029296875
1970-05-21,1982.3299560546875
1970-05-22,1989.3399658203125
1970-05-25,1933.3299560546875
1970-05-26,1946.47998046875
1970-05-27,1929.6400146484375
1970-05-28,2009.0999755859375
1970-05-29,2026.0999755859375
1970-06-01,2082.3701171875
1970-06-02,2082.3701171875
1970-06-03,2109.22998046875
1970-06-04,2133.85009765625
1970-06-05,2123.820068359375
1970-06-08,2109.580078125
1970-06-09,2091.830078125
1970-06-10,2109.469970703125
1970-06-11,2029.4100341796875
1970-06-12,2048.93994140625
1970-06-15,2072.800048828125
1970-06-16,2054.3701171875
1970-06-17,2054.3701171875
1970-06-18,2082.02001953125
1970-06-19,2113.219970703125
1970-06-22,2149.280029296875
1970-06-23,2131.889892578125
1970-06-24,2140.469970703125
1970-06-25,2143.449951171875
1970-06-26,2135.8798828125
1970-06-29,2131.81005859375
1970-06-30,2138.110107421875
1970-07-01,2148.7900390625
1970-07-02,2148.7900390625
1970-07-03,2135.25
1970-07-06,2117.64990234375
1970-07-07,2116.860107421875
1970-07-08,2121.510009765625
1970-07-09,2111.10009765625
1970-07-10,2102.219970703125
1970-07-13,2110.010009765625
1970-07-14,2110.8701171875
1970-07-15,2087.989990234375
1970-07-16,2067.760009765625
1970-07-17,2067.760009765625
1970-07-21,2148.93994140625
1970-07-22,2132.18994140625
1970-07-23,2125.6201171875
1970-07-24,2128.35009765625
1970-07-27,2130.050048828125
1970-07-28,2138.56005859375
1970-07-29,2132.429931640625
1970-07-30,2140.5
1970-07-31,2159.159912109375
1970-08-03,2159.159912109375
1970-08-04,2164.2099609375
1970-08-05,2169.780029296875
1970-08-06,2147.72998046875
1970-08-07,2143.090087890625
1970-08-10,2141.3798828125
1970-08-11,2123.52001953125
1970-08-12,2122.830078125
1970-08-13,2142.85009765625
1970-08-14,2136.14990234375
1970-08-17,2140.639892578125
1970-08-18,2140.639892578125
1970-08-19,2155.989990234375
1970-08-20,2161.429931640625
1970-08-21,2164.280029296875
1970-08-24,2168.14990234375
1970-08-25,2153.179931640625
1970-08-26,2153.360107421875
1970-08-27,2163.5
1970-08-28,2157.840087890625
1970-08-31,2132.2099609375
1970-09-01,2130.5400390625
1970-09-02,2130.5400390625
1970-09-03,2139.050048828125
1970-09-04,2144.9599609375
1970-09-07,2150.5400390625
1970-09-08,2165.179931640625
1970-09-09,2176.989990234375
1970-09-10,2165.469970703125
1970-09-11,2157.260009765625
1970-09-14,2168.39990234375
1970-09-15,2168.39990234375
1970-09-16,2139.89990234375
1970-09-17,2136.800048828125
1970-09-18,2136.800048828125
1970-09-21,2076.989990234375
1970-09-22,2089.360107421875
1970-09-24,2094.0
1970-09-25,2065.02001953125
1970-09-28,2020.8800048828125
1970-09-29,2065.43994140625
1970-09-30,2065.43994140625
1970-10-01,2061.64990234375
1970-10-02,2065.590087890625
1970-10-05,2065.590087890625
1970-10-06,2094.360107421875
1970-10-07,2083.159912109375
1970-10-08,2079.929931640625
1970-10-09,2081.320068359375
1970-10-12,2092.4599609375
1970-10-13,2094.47998046875
1970-10-14,2096.1201171875
1970-10-15,2118.39990234375
1970-10-16,2114.2099609375
1970-10-19,2133.030029296875
1970-10-20,2133.030029296875
1970-10-21,2106.840087890625
1970-10-22,2107.159912109375
1970-10-23,2101.679931640625
1970-10-26,2094.89990234375
1970-10-27,2095.18994140625
1970-10-28,2104.469970703125
1970-10-29,2117.260009765625
1970-10-30,2114.199951171875
1970-11-02,2139.320068359375
1970-11-04,2143.719970703125
1970-11-05,2143.719970703125
1970-11-06,2136.590087890625
1970-11-09,2147.97998046875
1970-11-10,2142.72998046875
1970-11-11,2122.550048828125
1970-11-12,2109.989990234375
1970-11-13,2111.090087890625
1970-11-16,2098.449951171875
1970-11-17,2075.659912109375
1970-11-18,2087.8798828125
1970-11-19,2075.159912109375
1970-11-20,2075.159912109375
1970-11-24,2060.030029296875
1970-11-25,2056.929931640625
1970-11-26,2041.1500244140625
1970-11-27,2012.1300048828125
1970-11-30,1990.469970703125
1970-12-01,2027.3699951171875
1970-12-02,2017.1199951171875
1970-12-03,1992.719970703125
1970-12-04,1989.68994140625
1970-12-07,1969.5699462890625
1970-12-08,1963.4000244140625
1970-12-09,1965.780029296875
1970-12-10,1973.1600341796875
1970-12-11,2018.1700439453125
1970-12-14,2015.9100341796875
1970-12-15,1997.1099853515625
1970-12-16,1973.4100341796875
1970-12-17,1972.780029296875
1970-12-18,1977.56005859375
1970-12-21,1988.9599609375
1970-12-22,1979.7099609375
1970-12-24,1987.9599609375
1970-12-25,1982.6099853515625
1970-12-28,1987.1400146484375
1970-12-29,1987.1400146484375
1970-12-30,1987.1400146484375
1971-01-05,1989.43994140625
1971-01-06,1981.739990234375
1971-01-07,2000.9599609375
1971-01-08,2040.9300537109375
1971-01-12,2092.330078125
1971-01-13,2089.219970703125
1971-01-14,2093.89990234375
1971-01-18,2097.39990234375
1971-01-19,2115.25
1971-01-20,2102.3701171875
1971-01-21,2112.5
1971-01-22,2113.72998046875
1971-01-25,2105.010009765625
1971-01-26,2109.199951171875
1971-01-27,2099.080078125
1971-01-28,2102.360107421875
1971-01-29,2100.89990234375
1971-02-01,2104.8798828125
1971-02-02,2113.550048828125
1971-02-03,2129.72998046875
1971-02-04,2133.340087890625
1971-02-05,2125.159912109375
1971-02-08,2128.25
1971-02-09,2122.659912109375
1971-02-10,2139.2900390625
