Price,India
Ticker,
Date,
1997-07-01,51.610318359375
1997-07-02,52.006798828125
1997-07-03,51.88151953125
1997-07-04,51.885837890625
1997-07-07,51.497402343750004
1997-07-08,51.676681640625
1997-07-09,52.856279296875
1997-07-10,52.540441406250004
1997-07-11,51.863759765625
1997-07-14,50.700240234375
1997-07-15,50.652240234375
1997-07-16,50.2010390625
1997-07-17,50.323318359375
1997-07-18,49.497720703125
1997-07-21,49.851357421875
1997-07-22,50.23548046875
1997-07-23,51.01355859375
1997-07-24,50.71644140625
1997-07-25,50.277720703125
1997-07-28,50.177759765625
1997-07-29,50.6109609375
1997-07-30,50.938681640625
1997-07-31,51.6691171875
1997-08-01,52.167837890625
1997-08-04,53.58444140625
1997-08-05,54.576240234375
1997-08-06,54.2761171875
1997-08-07,53.364720703125
1997-08-08,52.77048046875
1997-08-11,53.77559765625
1997-08-12,53.100357421875
1997-08-13,52.44155859375
1997-08-14,51.851642578125
1997-08-19,49.98444140625
1997-08-20,50.81555859375
1997-08-21,49.873921875
1997-08-22,48.572039062500004
1997-08-26,49.286882812500004
1997-08-27,49.170720703125
1997-08-28,47.557798828125
1997-08-29,46.512960937500004
1997-09-01,47.3240390625
1997-09-02,47.400360351562504
1997-09-03,47.5846787109375
1997-09-04,48.08448046875
1997-09-05,48.388201171875004
1997-09-08,49.0476005859375
1997-09-09,48.3786005859375
1997-09-10,48.5473212890625
1997-09-11,48.1208408203125
1997-09-12,47.951279296875
1997-09-15,48.221039062500004
1997-09-16,48.1510810546875
1997-09-17,47.1399609375
1997-09-18,46.617240234375004
1997-09-19,45.90144140625
1997-09-22,45.2518798828125
1997-09-23,45.8690390625
1997-09-24,45.9109189453125
1997-09-25,46.650720703125
1997-09-26,47.1028798828125
1997-09-29,46.9539609375
1997-09-30,46.824360351562504
1997-10-01,46.8661201171875
1997-10-03,46.172759765625
1997-10-06,46.2880810546875
1997-10-07,46.91351953125
1997-10-08,47.162759765625
1997-10-09,47.75951953125
1997-10-10,48.68844140625
1997-10-13,48.7926005859375
1997-10-14,48.148798828125
1997-10-15,48.4146005859375
1997-10-16,48.9246005859375
1997-10-17,49.2751171875
1997-10-20,49.858078125
1997-10-21,49.4038828125
1997-10-22,48.992399414062504
1997-10-23,48.117240234375004
1997-10-24,47.489519531250004
1997-10-27,47.2119609375
1997-10-30,45.6388798828125
1997-11-03,45.4898408203125
1997-11-04,45.6713994140625
1997-11-05,45.338759765625
1997-11-06,45.16751953125
1997-11-07,44.9678408203125
1997-11-10,44.6526005859375
1997-11-11,44.680798828125
1997-11-12,43.5981591796875
1997-11-13,42.649201171875
1997-11-14,42.837240234375
1997-11-17,42.937201171875
1997-11-18,42.226798828125
1997-11-19,41.455798828125
1997-11-20,41.6023212890625
1997-11-21,42.281279296875
1997-11-24,40.8368408203125
1997-11-25,41.7586787109375
1997-11-26,42.426240234375
1997-11-27,43.5368408203125
1997-11-28,42.72348046875
1997-12-01,42.835798828125
1997-12-02,42.641759765625004
1997-12-03,42.74844140625
1997-12-04,42.325201171875
1997-12-05,41.628960937500004
1997-12-08,41.618279296875
1997-12-09,40.699081054687504
1997-12-10,40.1679609375
1997-12-11,39.9496787109375
1997-12-12,39.951240234375
1997-12-15,40.410720703125
1997-12-16,41.098441406250004
1997-12-17,41.844240234375
1997-12-18,41.668201171875
1997-12-19,42.482279296875
1997-12-22,43.3960810546875
1997-12-23,43.6933212890625
1997-12-24,43.292279296875
1997-12-26,43.60055859375
1997-12-29,44.48148046875
1997-12-30,43.65251953125
1997-12-31,43.907759765625
1998-01-01,44.33544140625
1998-01-02,44.638201171875004
1998-01-05,44.870519531250004
1998-01-06,44.63544140625
1998-01-07,44.199720703125
1998-01-08,43.1779189453125
1998-01-09,42.3623994140625
1998-01-12,40.74048046875
1998-01-13,41.1806396484375
1998-01-14,40.80948046875
1998-01-15,40.3893603515625
1998-01-16,40.5878408203125
1998-01-19,41.7703212890625
1998-01-20,41.4713994140625
1998-01-21,41.0200810546875
1998-01-22,40.5636005859375
1998-01-23,40.21451953125
1998-01-27,39.31451953125
1998-01-28,38.5146005859375
1998-01-29,38.6923212890625
1998-02-02,40.2576005859375
1998-02-03,40.25855859375
1998-02-04,39.830279296875
1998-02-05,40.229759765625
1998-02-06,40.4003994140625
1998-02-09,40.180201171875
1998-02-10,39.812399414062504
1998-02-11,39.5149189453125
1998-02-12,39.5266787109375
1998-02-13,40.4823603515625
1998-02-16,41.397240234375
1998-02-17,40.9603212890625
1998-02-18,40.82255859375
1998-02-19,41.2516787109375
1998-02-20,41.0076005859375
1998-02-23,41.740798828125
1998-02-24,41.816279296875
1998-02-26,42.85955859375
1998-02-27,43.4666396484375
1998-03-02,45.2713212890625
1998-03-04,44.9271591796875
1998-03-05,44.57544140625
1998-03-06,44.5029609375
1998-03-09,45.68651953125
1998-03-10,45.579
1998-03-11,45.025081054687504
1998-03-12,44.598
1998-03-16,45.422759765625
1998-03-17,45.4940390625
1998-03-18,45.900240234375
1998-03-19,45.85044140625
1998-03-20,46.084798828125
1998-03-23,47.565720703125
1998-03-24,47.1320390625
1998-03-25,47.3948408203125
1998-03-26,46.701
1998-03-27,46.903201171875004
1998-03-30,46.775759765625004
1998-03-31,46.713
1998-04-01,47.6348408203125
1998-04-02,47.9126396484375
1998-04-03,48.912600585937504
1998-04-06,50.042642578125
1998-04-07,50.331240234375
1998-04-10,49.41948046875
1998-04-13,49.0311591796875
1998-04-15,50.31
1998-04-16,49.611837890625004
1998-04-17,50.2411171875
1998-04-20,50.528759765625004
