Price,China
Ticker,
Date,
1997-07-02,179.8591552734375
1997-07-03,172.59345703124998
1997-07-04,173.90130615234375
1997-07-07,164.52284545898436
1997-07-08,166.44990234374998
1997-07-09,168.12614135742186
1997-07-10,168.02310791015626
1997-07-11,173.219091796875
1997-07-14,180.01710205078123
1997-07-16,178.62390747070313
1997-07-17,179.58389282226562
1997-07-18,181.47855834960936
1997-07-21,179.02875366210938
1997-07-22,181.23720703125
1997-07-23,179.82914428710936
1997-07-24,176.13255615234374
1997-07-25,175.62930908203126
1997-07-28,171.26654663085938
1997-07-29,172.9843505859375
1997-07-30,176.91315307617188
1997-07-31,178.46400146484373
1997-08-01,178.92420043945313
1997-08-04,180.049951171875
1997-08-05,179.44110717773438
1997-08-06,175.79115600585936
1997-08-07,179.88599853515623
1997-08-08,180.90794677734374
1997-08-11,177.612451171875
1997-08-12,172.0213439941406
1997-08-13,168.01904296875
1997-08-14,175.21695556640626
1997-08-15,171.4595947265625
1997-08-18,170.19510498046876
1997-08-19,169.93575439453124
1997-08-20,171.69585571289062
1997-08-21,174.68175659179687
1997-08-22,175.774951171875
1997-08-25,177.61439208984373
1997-08-26,179.1064453125
1997-08-27,179.77694091796874
1997-08-28,182.08379516601562
1997-08-29,183.1595947265625
1997-09-01,184.47974853515623
1997-09-02,183.94544677734373
1997-09-03,186.12299194335938
1997-09-04,187.69469604492187
1997-09-05,187.73250732421874
1997-09-08,188.2843505859375
1997-09-09,184.65404663085937
1997-09-10,188.40615234375
1997-09-11,186.40695190429688
1997-09-12,181.30455322265624
1997-09-15,176.8929016113281
1997-09-16,178.08299560546874
1997-09-17,175.13355102539063
1997-09-18,175.85489501953126
1997-09-19,177.6781494140625
1997-09-22,165.59609985351562
1997-09-23,156.29474487304688
1997-09-24,166.50179443359374
1997-09-25,167.55150146484374
1997-09-26,166.44510498046876
1997-09-29,162.61080322265624
1997-09-30,164.60745849609376
1997-10-06,164.83544311523437
1997-10-07,165.38594970703124
1997-10-08,170.2302062988281
1997-10-09,168.36989135742186
1997-10-10,169.6177551269531
1997-10-13,167.97255249023436
1997-10-14,167.68919677734374
1997-10-15,168.86729736328124
1997-10-16,172.54605102539062
1997-10-17,176.47335205078124
1997-10-20,178.1052062988281
1997-10-21,178.7804992675781
1997-10-22,176.62800292968748
1997-10-23,176.00460205078124
1997-10-24,176.74590454101562
1997-10-27,185.37405395507812
1997-10-28,176.68859252929687
1997-10-29,177.61290893554687
1997-10-30,176.22689208984374
1997-10-31,177.0589416503906
1997-11-03,177.1281005859375
1997-11-04,177.70499267578126
1997-11-05,179.1056945800781
1997-11-06,177.16845703125
1997-11-07,179.27114868164062
1997-11-10,177.86760864257812
1997-11-11,177.99510498046874
1997-11-12,177.75360717773438
1997-11-13,177.75360717773438
1997-11-14,179.6748046875
1997-11-17,178.699951171875
1997-11-18,177.50234985351562
1997-11-19,177.24404296875
1997-11-20,175.86405029296876
1997-11-21,173.78325805664062
1997-11-24,168.74115600585938
1997-11-25,168.82919311523438
1997-11-26,171.57269897460938
1997-11-27,168.3773986816406
1997-11-28,170.94420776367187
1997-12-01,169.96305541992186
1997-12-02,169.525048828125
1997-12-03,168.38190307617188
1997-12-04,170.38095703125
1997-12-05,170.43059692382812
1997-12-08,170.89830322265624
1997-12-09,172.22565307617188
1997-12-10,173.67630615234376
1997-12-11,173.875341796875
1997-12-12,173.07599487304688
1997-12-15,175.20390014648436
1997-12-16,176.22030029296874
1997-12-17,171.9782958984375
1997-12-18,173.12490234375
1997-12-19,174.1151916503906
1997-12-22,175.35104370117188
1997-12-23,175.68810424804687
1997-12-24,175.44959106445313
1997-12-25,177.19169311523436
1997-12-26,178.787841796875
1997-12-29,177.9908935546875
1997-12-30,177.17144165039062
1997-12-31,179.11530761718748
1998-01-05,183.07095336914062
1998-01-06,185.04299926757812
1998-01-07,186.61049194335936
1998-01-08,185.5744445800781
1998-01-09,185.98515014648436
1998-01-12,184.04489135742188
1998-01-13,175.14704589843748
1998-01-14,180.33224487304688
1998-01-15,182.3146545410156
1998-01-16,182.09430541992188
1998-01-19,181.96935424804687
1998-01-20,180.55724487304687
1998-01-21,180.03045043945312
1998-01-22,180.6645080566406
1998-01-23,183.43694458007812
1998-02-09,187.20600585937498
1998-02-10,185.47694091796873
1998-02-11,187.53570556640625
1998-02-12,186.94425659179686
1998-02-13,186.88665161132812
1998-02-16,185.43539428710938
1998-02-17,185.775
1998-02-18,184.474658203125
1998-02-19,184.88759765625
1998-02-20,183.9030029296875
1998-02-23,181.2904541015625
1998-02-24,181.23270263671876
1998-02-25,179.20094604492186
1998-02-26,181.00109252929687
1998-02-27,180.97950439453123
1998-03-02,178.24590454101562
1998-03-03,180.26834106445312
1998-03-04,181.98795776367186
1998-03-05,181.13115234375
1998-03-06,180.96780395507812
1998-03-09,180.12509765625
1998-03-10,179.97480468749998
1998-03-11,178.50554809570312
1998-03-12,176.84549560546876
1998-03-13,177.74415893554686
1998-03-16,178.27230834960938
1998-03-17,180.42524414062498
1998-03-18,179.08635864257812
1998-03-19,178.30724487304687
1998-03-20,178.125146484375
1998-03-23,176.98035278320313
1998-03-24,179.10254516601563
1998-03-25,178.73294677734376
1998-03-26,178.32974853515626
1998-03-27,183.53474121093748
1998-03-30,187.4152587890625
1998-03-31,186.45239868164063
1998-04-01,188.24474487304687
1998-04-02,190.3522521972656
1998-04-03,192.91259765625
1998-04-06,195.95670776367186
1998-04-07,195.47100219726562
1998-04-08,198.4189453125
1998-04-09,194.58374633789063
1998-04-10,196.72710571289062
1998-04-13,197.81220703124998
1998-04-14,197.05814208984376
1998-04-15,198.7060546875
1998-04-16,197.43689575195313
1998-04-17,194.71605834960937
1998-04-20,194.40075073242187
1998-04-21,195.78345336914063
1998-04-22,198.32730102539062
1998-04-23,198.68384399414063
1998-04-24,197.275048828125
1998-04-27,196.55670776367188
1998-04-28,199.94849853515623
1998-04-29,199.874853515625
1998-04-30,201.51719970703124
1998-05-04,202.93890380859375
1998-05-05,202.87800292968748
1998-05-06,202.2617980957031
1998-05-07,199.18095703125
1998-05-08,203.63924560546874
1998-05-11,203.1908935546875
1998-05-12,202.44735717773438
1998-05-13,205.38929443359373
1998-05-14,205.06904296874998
1998-05-15,205.21305541992186
1998-05-18,205.22744750976562
1998-05-19,204.343798828125
1998-05-20,203.61465454101562
1998-05-21,204.99840087890624
1998-05-22,206.37255249023437
1998-05-25,208.40489501953124
1998-05-26,208.56240234375
1998-05-27,209.931298828125
1998-05-28,209.6842529296875
1998-05-29,211.68134765624998
1998-06-01,212.33624267578125
1998-06-02,211.9619934082031
1998-06-03,213.0
1998-06-04,210.94544677734373
1998-06-05,211.29210205078124
1998-06-08,210.5594970703125
