Price,Germany
Ticker,
Date,
1987-12-30,1105.709002685547
1988-01-04,1052.1389892578127
1988-01-05,1095.7099731445314
1988-01-06,1106.6110107421875
1988-01-07,1115.9169677734376
1988-01-08,1129.358935546875
1988-01-11,1086.272021484375
1988-01-12,1085.5790161132816
1988-01-13,1062.347021484375
1988-01-14,1071.906024169922
1988-01-15,1047.7060241699219
1988-01-18,1103.4430053710937
1988-01-19,1078.1979919433595
1988-01-20,1056.484002685547
1988-01-21,1044.1639892578125
1988-01-22,1063.127978515625
1988-01-25,1058.8930053710938
1988-01-26,1065.0860107421877
1988-01-27,1055.636981201172
1988-01-28,1031.5360107421875
1988-01-29,1029.6000000000001
1988-02-01,1046.65
1988-02-02,1051.236981201172
1988-02-03,1069.409002685547
1988-02-04,1089.2419677734376
1988-02-05,1077.3180053710937
1988-02-08,1085.6450134277345
1988-02-09,1081.6409973144532
1988-02-10,1096.8540161132814
1988-02-11,1127.158935546875
1988-02-12,1136.8389892578125
1988-02-15,1154.2849731445312
1988-02-16,1161.347021484375
1988-02-17,1158.597021484375
1988-02-18,1157.1339355468751
1988-02-19,1151.4580322265626
1988-02-22,1165.427978515625
1988-02-23,1175.9330322265625
1988-02-24,1176.890026855469
1988-02-25,1200.7489624023438
1988-02-26,1187.3400268554688
1988-02-29,1191.673962402344
1988-03-01,1196.0519409179688
1988-03-02,1188.483935546875
1988-03-03,1190.4639892578125
1988-03-04,1182.6430053710938
1988-03-07,1185.1069946289062
1988-03-08,1187.3620483398438
1988-03-09,1186.4819946289062
1988-03-10,1190.79404296875
1988-03-11,1180.7949462890626
1988-03-14,1179.0790161132813
1988-03-15,1196.943005371094
1988-03-16,1208.6360107421876
1988-03-17,1214.697021484375
1988-03-18,1235.597021484375
1988-03-21,1222.7819946289064
1988-03-22,1217.8099731445313
1988-03-23,1227.7209838867188
1988-03-24,1210.4949462890627
1988-03-25,1172.2809570312502
1988-03-28,1140.9860107421875
1988-03-29,1168.5629516601564
1988-03-30,1173.15
1988-03-31,1168.5629516601564
1988-04-05,1169.6080322265625
1988-04-06,1180.322021484375
1988-04-07,1190.0900268554688
1988-04-08,1186.2510375976562
1988-04-11,1197.0639892578126
1988-04-12,1212.5629516601564
1988-04-13,1203.5319946289064
1988-04-14,1202.4319946289063
1988-04-15,1178.3529785156252
1988-04-18,1182.6430053710938
1988-04-19,1191.7949462890626
1988-04-20,1183.3360107421877
1988-04-21,1174.25
1988-04-22,1173.7660644531252
1988-04-25,1173.5019409179688
1988-04-26,1159.0809570312501
1988-04-27,1159.7300537109377
1988-04-28,1164.075
1988-04-29,1154.087048339844
1988-05-02,1158.1239624023438
1988-05-03,1145.0449462890626
1988-05-04,1152.1290161132813
1988-05-05,1149.1260375976562
1988-05-06,1140.9639892578125
1988-05-09,1125.9819946289065
1988-05-10,1111.1650268554688
1988-05-11,1093.7849731445315
1988-05-13,1107.6669677734376
1988-05-16,1154.548962402344
1988-05-17,1150.995983886719
1988-05-18,1147.5199462890625
1988-05-19,1122.3520080566407
1988-05-20,1134.4629516601562
1988-05-24,1135.1120483398438
1988-05-25,1147.9709838867188
1988-05-26,1151.2819946289064
1988-05-27,1160.4120483398438
1988-05-30,1171.0709838867188
1988-05-31,1183.2260375976564
1988-06-01,1204.9730590820313
1988-06-03,1212.2330322265625
1988-06-06,1216.5010375976562
1988-06-07,1211.243005371094
1988-06-08,1207.4370483398438
1988-06-09,1238.2260375976564
1988-06-10,1227.3580322265625
1988-06-13,1234.4860107421875
1988-06-14,1229.6239624023438
1988-06-15,1247.4220214843751
1988-06-16,1236.5540161132812
1988-06-20,1215.1699462890626
1988-06-21,1231.5160644531252
1988-06-22,1250.952978515625
1988-06-23,1249.347021484375
1988-06-24,1244.308935546875
1988-06-27,1252.723962402344
1988-06-28,1237.202978515625
1988-06-29,1246.8720214843752
1988-06-30,1247.1910644531251
1988-07-01,1269.0480590820314
1988-07-04,1287.483935546875
1988-07-05,1295.140026855469
1988-07-06,1314.4559570312501
1988-07-07,1305.0620483398438
1988-07-08,1319.9120483398438
1988-07-11,1310.6830322265625
1988-07-12,1300.7169677734375
1988-07-13,1284.5139892578127
1988-07-14,1303.6650268554688
1988-07-15,1308.548962402344
1988-07-18,1307.2400268554688
1988-07-19,1285.4379516601564
1988-07-20,1286.76904296875
1988-07-21,1299.1550537109376
1988-07-22,1271.875
1988-07-25,1264.7470214843752
1988-07-26,1284.4150268554688
1988-07-27,1294.15
1988-07-28,1279.597021484375
1988-07-29,1296.3830322265626
1988-08-01,1309.7370483398438
1988-08-02,1305.8209838867188
1988-08-03,1311.6620483398438
1988-08-04,1301.2779785156251
1988-08-05,1313.2569946289063
1988-08-08,1322.5080322265626
1988-08-09,1312.80595703125
1988-08-10,1292.4889892578126
1988-08-11,1279.0360107421875
1988-08-12,1289.870983886719
1988-08-15,1287.483935546875
1988-08-16,1274.4709838867188
1988-08-17,1292.5330322265627
1988-08-18,1298.4290161132812
1988-08-19,1280.9169677734376
1988-08-22,1282.577978515625
1988-08-23,1266.60595703125
1988-08-24,1277.8480590820313
1988-08-25,1281.1150268554688
1988-08-26,1272.2379516601563
1988-08-29,1266.0669677734377
1988-08-30,1280.7300537109377
1988-08-31,1286.4059570312502
1988-09-01,1269.7629516601564
1988-09-02,1268.212048339844
1988-09-05,1290.7730590820313
1988-09-06,1294.447021484375
1988-09-07,1300.79404296875
1988-09-08,1305.545983886719
1988-09-09,1305.2489624023438
1988-09-12,1319.8129516601564
1988-09-13,1332.3639892578126
1988-09-14,1346.4550537109376
1988-09-15,1349.0620483398438
1988-09-16,1352.2080322265626
1988-09-19,1373.3169677734377
1988-09-20,1367.34404296875
1988-09-21,1383.5800537109376
1988-09-22,1375.0769409179688
1988-09-23,1375.483935546875
1988-09-26,1380.4230590820314
1988-09-27,1377.79404296875
1988-09-28,1363.890026855469
1988-09-29,1372.8110107421876
1988-09-30,1379.0480590820314
1988-10-03,1367.6080322265625
1988-10-04,1369.7860107421875
1988-10-05,1377.4860107421875
1988-10-06,1383.3379516601562
1988-10-07,1391.5660644531251
1988-10-10,1412.037048339844
1988-10-11,1403.072021484375
1988-10-12,1389.3000000000002
1988-10-13,1396.197021484375
1988-10-14,1412.9610107421877
1988-10-17,1411.025
1988-10-18,1429.548962402344
1988-10-19,1440.1529785156251
1988-10-20,1417.2839355468752
1988-10-21,1427.3599731445313
1988-10-24,1416.920983886719
1988-10-25,1419.0769409179688
1988-10-26,1438.8989624023438
1988-10-27,1451.1750000000002
1988-10-28,1446.18095703125
1988-10-31,1439.075
1988-11-01,1435.4669677734375
1988-11-02,1429.68095703125
1988-11-03,1403.2480590820314
1988-11-04,1418.3069946289063
1988-11-07,1398.1330322265626
